,GM12878,K562,GM12878,K562,GM12878,K562,GM12878,K562
Feature Number,10 kb,10 kb,25 kb,25 kb,50 kb,50 kb,100 kb,100 kb
1,Atf3,Bach1sc14700,Atf3,Bach1sc14700,Atf3,Bcl3,Atf3,Bach1sc14700
2,Brca1a300,Bcl3,Brca1a300,Bcl3,Bcl3,Brf2,Brca1a300,Bcl3
3,Corestsc30189,Brf2,Cfos,Bdp1,Brca1a300,Ctcf,Cfos,Brf2
4,Ctcf,Cebpb,Corestsc30189,Brf2,Cfos,Ctcfb,Chd1a301218a,Cebpbsc150
5,Ctcfsc15914c20,Ctcf,Ctcf,Ctcf,Cmyc,Ctcfc,Corestsc30189,Cfos
6,E2f4,Ctcfb,Ctcfsc15914c20,Ctcfb,Corestsc30189,Ctcflsc98982,Ctcf,Chd1a301218a
7,Elk112771,Ctcfc,Elk112771,Ctcfc,Ctcf,Elk112771,E2f4,Ctcfb
8,Ezh239875,Ctcflsc98982,Ets1,Ctcflsc98982,E2f4,Ezh239875,Elk112771,Ctcfc
9,H3k9me3,Efos,Ezh239875,Elk112771,Ets1,Gtf2f1ab28179,Ets1,E2f4
10,Insulator,Elk112771,H3k27me3,H3k9me3,Ezh239875,Hdac6a301341a,Ezh239875,Ehdac8
11,Mef2a,H3k9me3,Ikzf1iknucla,Hdac6a301341a,H3k27me3,Insulator,Ikzf1iknucla,Ezh239875
12,Nfatc1sc17834,Insulator,Insulator,Insulator,H3k9me3,Kap1,Insulator,Gtf2b
13,Nfe2sc22827,Kap1,Nfe2sc22827,Kap1,Nfe2sc22827,Nelfe,Nfatc1sc17834,Hdac2a300705a
14,Nfyb,Maff,Nfya,Nelfe,Nfkb,Nfe2,Nfe2sc22827,Hdac6a301341a
15,Nrsf,Mafkab50322,Nfyb,Nfe2,Nfyb,Nfya,Nfkb,Insulator
16,P300b,Nelfe,Nrsf,Nfyb,Nrsf,Pol2s2,Nfya,Mef2a
17,Pbx3,Nfyb,Pbx3,PoisedPromoter,P300b,Rad21,Nrsf,Nelfe
18,PoisedPromoter,P300,PoisedPromoter,Pol2s2,Pbx3,RepetitiveCNV,P300b,Nfya
19,Rad21,Pol2s2,Rad21,Rad21,PoisedPromoter,Rfx5,Pbx3,Setdb1
20,RepetitiveCNV,Rad21,RepetitiveCNV,RepetitiveCNV,Rad21,Rpc155,PoisedPromoter,Six5
21,Repressed,RepetitiveCNV,Rfx5200401194,Repressed,Rfx5200401194,Setdb1,Rad21,Sp2sc643
22,Rfx5200401194,Repressed,Rxra,Rpc155,Rxra,Six5,RepetitiveCNV,Srf
23,Rxra,Rfx5,Six5,Six5,Six5,Smc3ab9263,Rxra,Stat1
24,Six5,Rpc155,Smc3ab9263,Smc3ab9263,Smc3ab9263,Sp2sc643,Six5,Stat2
25,Smc3ab9263,Smc3ab9263,Stat1,Sp2sc643,Stat1,Stat1,Stat1,Tf3c110
26,Stat1,Tf3c110,Tr4,Stat1,Stat3,Tf3c110,Tr4,Tr4
27,Tr4,Thap1sc98174,TxnElongation,Tf3c110,Tr4,Tr4,Usf1,Usf2
28,Yy1,Tr4,Yy1,Thap1sc98174,Usf1,Usf2,Yy1,WeakPromoter
29,Yy1sc281,TxnElongation,Zbtb33,Tr4,Yy1,Zbtb33,Zbtb33,WeakTxn
30,Zbtb33,Zbtb33,Zeb1sc25388,TxnElongation,Zbtb33,Znf143,Zeb1sc25388,Zbtb33
31,Znf143166181ap,Znf143,Znf143166181ap,Znf143,Znf143166181ap,Znf274,Znf143166181ap,Znf143
32,Zzz3,Znf274,Zzz3,Znf274,Zzz3,Znf274m01,Zzz3,Znf274m01
