Question 2: What balancing technique most improves performance?,,,,,,,
,MLR,,,,,,
,Unbalanced,SMOTE,,,,Random Over-sampling (25 Iterations),Random Under-sampling (25 Iterations)
Metric,,100/200,200/200,300/200,400/200,,
TN,151185,106083,120378,125655,128387,106729.96,6721.12
FN,9637,3656,4878,5419,5681,59985.92,3774.04
FP,65,45289,30994,25717,22985,44569.04,2809.88
TP,32,5890,4668,4127,3865,91461.08,5786.96
Total,160919,160918,160918,160918,160918,302746,19092
Sensitivity,0.003,0.617,0.489,0.432,0.405,0.604,0.605
Specificity,1,0.701,0.795,0.83,0.848,0.705,0.705
Kappa,0.005,0.104,0.125,0.131,0.137,0.309,0.31
Accuracy,0.94,0.696,0.777,0.807,0.822,0.655,0.655
Precision,0.33,0.115,0.131,0.138,0.144,0.672,0.673
FPR,0,0.299,0.205,0.17,0.152,0.295,0.295
FNR,0.06,0.033,0.039,0.041,0.042,0.36,0.36
FOR,0.06,0.033,0.039,0.041,0.042,0.36,0.36
NPV,0.94,0.967,0.961,0.959,0.958,0.64,0.64
MCC,0.028,0.161,0.162,0.16,0.16,0.311,0.312
F1,0.007,0.194,0.207,0.21,0.212,0.636,0.637
AUC,0.501,0.659,0.642,0.631,0.627,0.655,0.655
