Question 7: Which classification algorithm performs best?,,,,,
Metric,MLR ,LASSO,Elastic-Net,Random Forest,GBM
TN,642.88,655.76,658.64,,
FN,242.12,202.8,204.88,,
FP,283.6,311.24,308.36,,
TP,681.4,680.2,678.12,,
Total,1850,1850,1850,,
Sensitivity,0.738,0.77,0.768,,
Specificity,0.694,0.678,0.681,,
Kappa,0.432,0.446,0.447,,
Accuracy,0.716,0.722,0.723,,
Precision,0.706,0.686,0.688,,
FPR,0.306,0.322,0.319,,
FNR,0.274,0.236,0.237,,
FOR,0.274,0.236,0.237,,
NPV,0.726,0.764,0.763,,
MCC,0.432,0.449,0.45,,
F1,0.722,0.726,0.726,,
AUC,0.716,0.8,0.801,,
