What balancing technique performs best?,,,,,,,,,,,,
,MLR,,,,,,LASSO,,,,,
,,SMOTE,,,,Random Undersampling,,SMOTE,,,,Random Undersampling
,Unbalanced,100/200,200/200,300/200,400/200,25 Iterations,Unbalanced,100/200,200/200,300/200,400/200,25 Iterations
TN,151203,98661,113257,118858,121304,6278.44,151235,87068,102536,109149,112429,5452.24
FN,9647,1856,2908,3429,3677,1878.16,9664,1443,2230,2714,3006,1411.2
FP,47,52711,38115,32514,30068,3252.56,15,64304,48836,42223,38943,4078.76
TP,22,7690,6638,6117,5869,7682.84,5,8103,7316,6832,6540,8149.8
Total,160919,160918,160918,160918,160918,19092,160919,160918,160918,160918,160918,19092
Sensitivity,0.002,0.806,0.695,0.641,0.615,0.804,0.001,0.849,0.766,0.716,0.685,0.852
Specificity,1,0.652,0.748,0.785,0.801,0.659,1,0.575,0.677,0.721,0.743,0.572
Kappa,0.004,0.131,0.163,0.175,0.181,0.462,0.001,0.104,0.135,0.149,0.155,0.425
Accuracy,0.94,0.661,0.745,0.777,0.79,0.731,0.94,0.591,0.683,0.721,0.739,0.712
Precision,0.319,0.127,0.148,0.158,0.163,0.703,0.25,0.112,0.13,0.139,0.144,0.666
FPR,0,0.348,0.252,0.215,0.199,0.341,0,0.425,0.323,0.279,0.257,0.428
FNR,0.06,0.018,0.025,0.028,0.029,0.23,0.06,0.016,0.021,0.024,0.026,0.206
FOR,0.06,0.018,0.025,0.028,0.029,0.23,0.06,0.016,0.021,0.024,0.026,0.206
NPV,0.94,0.982,0.975,0.972,0.971,0.77,0.94,0.984,0.979,0.976,0.974,0.794
MCC,0.023,0.223,0.234,0.236,0.236,0.467,0.009,0.201,0.22,0.224,0.224,0.442
F1,0.005,0.22,0.244,0.254,0.258,0.75,0.001,0.198,0.223,0.233,0.238,0.748
AUC,0.501,0.729,0.722,0.713,0.708,0.731,0.765,0.789,0.789,0.789,0.789,0.788
