Does Distance Matter?,,,,,,,,,,,,,,,,,,,,,,,,
,Unbalanced & Unfiltered,,,,,,,,Unbalanced & Filtered,,,,,,,,Balanced (random under-sampling) & Filtered,,,,,,,
,MLR,,,,LASSO,,,,MLR,,,,LASSO,,,,MLR,,,,LASSO,,,
Metric,Mourad,Only Count Overlaps,Only Distance Variables (Untransformed),Both,Mourad,Only Count Overlaps,Only Distance Variables (Untransformed),Both,Mourad,Only Count Overlaps,Only Distance Variables (Untransformed),Both,Mourad,Only Count Overlaps,Only Distance Variables (Untransformed),Both,Mourad,Only Count Overlaps,Only Distance Variables (Untransformed),Both,Mourad,Only Count Overlaps,Only Distance Variables (Untransformed),Both
TN,58712,151077,151250,151141,58657,151225,151250,151236,58450,151118,151250,151203,58243,151234,151250,151235,1858,6653,5554,5943,1856,6447,5335,5841
FN,780,9536,9669,9592,768,9659,9669,9660,736,9584,9669,9647,766,9664,9669,9664,782,3100,1451,1692,780,2910,1349,1751
FP,25197,173,0,109,25231,25,0,14,25425,132,0,47,25594,16,0,15,705,2878,3977,3588,707,3084,4196,3690
TP,1745,133,0,77,1778,10,0,9,1823,85,0,22,1831,5,0,5,1776,6461,8110,7869,1778,6651,8212,7810
Total,86434,160919,160919,160919,86434,160919,160919,160919,86434,160919,160919,160919,86434,160919,160919,160919,5121,19092,19092,19092,5121,19092,19092,19092
Sensitivity,0.691,0.014,0,0.008,0.698,0.001,0,0.001,0.712,0.009,0,0.002,0.705,0.001,0,0.001,0.694,0.676,0.848,0.823,0.695,0.696,0.859,0.817
Specificity,0.7,0.999,1,0.999,0.699,1,1,1,0.697,0.999,1,1,0.695,1,1,1,0.725,0.698,0.583,0.624,0.724,0.676,0.56,0.613
Kappa,0.069,0.023,0,0.013,0.07,0.002,0,0.002,0.072,0.015,0,0.004,0.071,0.001,0,0.001,0.419,0.374,0.431,0.447,0.419,0.372,0.419,0.43
Accuracy,0.699,0.94,0.94,0.94,0.699,0.94,0.94,0.94,0.697,0.94,0.94,0.94,0.695,0.94,0.94,0.94,0.71,0.687,0.716,0.723,0.71,0.686,0.71,0.715
Precision,0.065,0.435,NaN,0.414,0.066,0.286,NaN,0.391,0.067,0.392,NaN,0.319,0.067,0.238,NaN,0.25,0.716,0.692,0.671,0.687,0.715,0.683,0.662,0.679
FPR,0.3,0.001,0,0.001,0.301,0,0,0,0.303,0.001,0,0,0.305,0,0,0,0.275,0.302,0.417,0.376,0.276,0.324,0.44,0.387
FNR,0.013,0.059,0.06,0.06,0.013,0.06,0.06,0.06,0.012,0.06,0.06,0.06,0.013,0.06,0.06,0.06,0.296,0.318,0.207,0.222,0.296,0.311,0.202,0.231
FOR,0.013,0.059,0.06,0.06,0.013,0.06,0.06,0.06,0.012,0.06,0.06,0.06,0.013,0.06,0.06,0.06,0.296,0.318,0.207,0.222,0.296,0.311,0.202,0.231
NPV,0.987,0.941,0.94,0.94,0.987,0.94,0.94,0.94,0.988,0.94,0.94,0.94,0.987,0.94,0.94,0.94,0.704,0.682,0.793,0.778,0.704,0.689,0.798,0.769
MCC,0.142,0.069,NaN,0.051,0.145,0.014,NaN,0.017,0.149,0.051,NaN,0.023,0.147,0.009,NaN,0.009,0.419,0.374,0.447,0.456,0.419,0.372,0.439,0.439
F1,0.118,0.027,NaN,0.016,0.12,0.002,NaN,0.002,0.122,0.017,NaN,0.005,0.122,0.001,NaN,0.001,0.705,0.684,0.749,0.749,0.705,0.689,0.748,0.742
AUC,0.773,0.506,0.5,0.504,0.75,0.746,0.776,0.781,0.776,0.504,0.5,0.501,0.772,0.744,0.776,0.765,0.778,0.687,0.715,0.723,0.778,0.751,0.788,0.784
