,Mourad Models,,Unbalanced & Un-filtered,,Our Pipeline ,
Metric,MLR,LASSO,MLR,LASSO,Elastic-Net,Random Forest
TN,58712,58657,151148,151236,6682.4,6934.2
FN,780,768,9594,9660,2246.4,1488.2
FP,25197,25231,102,14,2777.6,2576.4
TP,1745,1778,75,9,7385.6,8093.2
Total,86434,86434,160919,160919,19092,19092
Sensitivity,0.691,0.698,0.008,0.001,0.767,0.845
Specificity,0.7,0.699,0.999,1,0.706,0.729
Kappa,0.069,0.07,0.013,0.002,0.473,0.574
Accuracy,0.699,0.699,0.94,0.94,0.737,0.787
Precision,0.065,0.066,0.424,0.391,0.727,0.759
FPR,0.3,0.301,0.001,0,0.294,0.271
FNR,0.013,0.013,0.06,0.06,0.252,0.177
FOR,0.013,0.013,0.06,0.06,0.252,0.177
NPV,0.987,0.987,0.94,0.94,0.748,0.823
MCC,0.142,0.145,0.051,0.017,0.474,0.578
F1,0.118,0.12,0.015,0.002,0.746,0.799
AUC,0.773,0.75,0.504,0.781,0.811,0.861
