Question 5: Does standardization of predictors improve performance?,,,,,,,,,,,,
,MLR,,,,,,LASSO,,,,,
,No Standardization,,,With Standardization,,,No Standardization,,,With Standardization,,
Metric,Just Overlaps,Just Distances,Both,Just Overlaps,Just Distances,Both,Just Overlaps,Just Distances,Both,Just Overlaps,Just Distances,Both
TN,6758.2,6695.76,6694.64,6758.2,6695.76,6694.64,,,,,,
FN,3773.72,2185.4,2145.08,3773.72,2185.4,2145.08,,,,,,
FP,2804.92,2867.36,2868.48,2804.92,2867.36,2868.48,,,,,,
TP,5755.16,7343.48,7383.8,5755.16,7343.48,7383.8,,,,,,
Total,19092,19092,19092,19092,19092,19092,,,,,,
Sensitivity,0.604,0.771,0.775,0.604,0.771,0.775,,,,,,
Specificity,0.707,0.7,0.7,0.707,0.7,0.7,,,,,,
Kappa,0.311,0.471,0.475,0.311,0.471,0.475,,,,,,
Accuracy,0.655,0.735,0.737,0.655,0.735,0.737,,,,,,
Precision,0.672,0.719,0.72,0.672,0.719,0.72,,,,,,
FPR,0.293,0.3,0.3,0.293,0.3,0.3,,,,,,
FNR,0.358,0.246,0.243,0.358,0.246,0.243,,,,,,
FOR,0.358,0.246,0.243,0.358,0.246,0.243,,,,,,
NPV,0.642,0.754,0.757,0.642,0.754,0.757,,,,,,
MCC,0.312,0.472,0.476,0.312,0.472,0.476,,,,,,
F1,0.636,0.744,0.747,0.636,0.744,0.747,,,,,,
AUC,0.655,0.735,0.737,0.655,0.735,0.737,,,,,,
