,,LASSO,,,Elastic-Net,,
,Balancing Technique,OC,OP,Distance,OC,OP,Distance
Accuracy,None,0.86,0.843,0.864,0.864,0.863,0.864
,RUS,0.603,0.716,0.663,0.611,0.636,0.666
,ROS,0.816,0.775,0.867,0.853,0.861,0.868
,SMOTE,0.725,0.731,0.714,0.752,0.709,0.719
AUC,None,0.606,0.539,0.791,0.626,0.638,0.804
,RUS,0.604,0.558,0.761,0.625,0.654,0.773
,ROS,0.585,0.546,0.819,0.613,0.657,0.833
,SMOTE,0.596,0.56,0.761,0.603,0.63,0.77
F1-Score,None,0.016,0.09,0.042,0.021,NA,0.047
,RUS,0.273,0.227,0.375,0.287,0.303,0.382
,ROS,0.157,0.173,0.151,0.084,0.084,0.161
,SMOTE,0.251,0.226,0.377,0.25,0.288,0.382
MCC,None,0.011,0.045,0.097,0.064,NA,0.101
,RUS,0.11,0.07,0.274,0.133,0.159,0.285
,ROS,0.064,0.043,0.191,0.066,0.104,0.202
,SMOTE,0.1,0.075,0.265,0.109,0.142,0.271
