Resolution,5kb,,,,,,,25kb,,,,,
,Variable Reduction,LASSO,,,Elastic-Net,,,LASSO,,,Elastic-Net,,
,Predictor Type,OC,OP ,Distance,OC,OP ,Distance,OC,OP ,Distance,OC,OP ,Distance
Accuracy,None,0.929,0.927,0.93,0.93,0.93,0.931,0.86,0.843,0.864,0.864,0.863,0.864
,RUS,0.706,0.633,0.723,0.692,0.679,0.729,0.603,0.716,0.663,0.611,0.636,0.666
,ROS,0.81,0.718,0.933,0.907,0.922,0.934,0.816,0.775,0.867,0.853,0.861,0.868
,SMOTE,0.768,0.648,0.764,0.812,0.768,0.775,0.725,0.731,0.714,0.752,0.709,0.719
AUC,None,0.669,0.577,0.888,0.734,0.737,0.902,0.606,0.539,0.791,0.626,0.638,0.804
,RUS,0.7,0.669,0.853,0.74,0.738,0.862,0.604,0.558,0.761,0.625,0.654,0.773
,ROS,0.673,0.651,0.901,0.701,0.711,0.912,0.585,0.546,0.819,0.613,0.657,0.833
,SMOTE,0.694,0.668,0.858,0.741,0.741,0.867,0.596,0.56,0.761,0.603,0.63,0.77
F1-Score,None,0.018,0.03,0.031,0.004,0.002,0.055,0.016,0.09,0.042,0.021,NA,0.047
,RUS,0.218,0.197,0.297,0.229,0.225,0.303,0.273,0.227,0.375,0.287,0.303,0.382
,ROS,0.156,0.181,0.203,0.089,0.063,0.219,0.157,0.173,0.151,0.084,0.084,0.161
,SMOTE,0.217,0.192,0.318,0.263,0.252,0.332,0.251,0.226,0.377,0.25,0.288,0.382
MCC,None,0.038,0.04,0.081,0.044,0.01,0.124,0.011,0.045,0.097,0.064,NA,0.101
,RUS,0.166,0.143,0.3,0.189,0.186,0.309,0.11,0.07,0.274,0.133,0.159,0.285
,ROS,0.073,0.105,0.252,0.05,0.059,0.268,0.064,0.043,0.191,0.066,0.104,0.202
,SMOTE,0.153,0.132,0.313,0.209,0.205,0.331,0.1,0.075,0.265,0.109,0.142,0.271
Resolution,50kb,,,,,,,100kb,,,,,
,Variable Reduction,LASSO,,,Elastic-Net,,,LASSO,,,Elastic-Net,,
,Predictor Type,OC,OP ,Distance,OC,OP ,Distance,OC,OP ,Distance,OC,OP ,Distance
Accuracy,None,0.861,0.857,0.861,0.861,0.861,0.861,0.865,0.787,0.865,0.865,0.863,0.867
,RUS,0.565,0.208,0.639,0.556,0.573,0.64,0.563,0.559,0.619,0.561,0.482,0.61
,ROS,0.852,0.228,0.866,0.858,0.858,0.866,0.863,0.784,0.867,0.864,0.701,0.845
,SMOTE,0.734,0.206,0.734,0.741,0.68,0.727,0.699,0.61,0.709,0.708,0.518,0.667
AUC,None,0.598,0.489,0.8,0.622,0.608,0.802,0.561,0.549,0.656,0.554,0.519,0.66
,RUS,0.605,0.523,0.753,0.626,0.64,0.756,0.587,0.52,0.666,0.59,0.513,0.645
,ROS,0.602,0.531,0.821,0.642,0.644,0.818,0.592,0.527,0.712,0.595,0.492,0.663
,SMOTE,0.602,0.519,0.745,0.609,0.626,0.744,0.585,0.526,0.666,0.591,0.534,0.642
F1-Score,None,0.01,0.02,0.021,0.01,NA,0.021,NA,0.039,0.021,NA,NA,0.099
,RUS,0.28,0.252,0.372,0.289,0.299,0.374,0.254,0.219,0.307,0.256,0.218,0.296
,ROS,0.029,0.256,0.128,0.029,NA,0.13,NA,0.051,0.06,NA,0.194,0.113
,SMOTE,0.279,0.253,0.377,0.26,0.308,0.372,0.202,0.217,0.297,0.219,0.225,0.265
MCC,None,0.04,0.019,0.071,0.067,NA,0.071,NA,-0.077,0.058,NA,-0.021,0.142
,RUS,0.114,0.057,0.269,0.132,0.149,0.272,0.081,0.025,0.17,0.084,0.007,0.152
,ROS,0.009,0.073,0.189,0.043,0.03,0.188,NA,-0.068,0.11,NA,0.029,0.066
,SMOTE,0.134,0.061,0.258,0.114,0.162,0.251,0.037,0.031,0.156,0.06,0.026,0.107
