,,LASSO,,Elastic-Net,
,Balancing Technique,OC,OP ,OC,OP 
Accuracy,None,0.929,0.927,0.93,0.93
,RUS,0.706,0.633,0.692,0.679
,ROS,0.81,0.718,0.907,0.922
,SMOTE,0.768,0.648,0.812,0.768
AUC,None,0.669,0.577,0.734,0.737
,RUS,0.7,0.669,0.74,0.738
,ROS,0.673,0.651,0.701,0.711
,SMOTE,0.694,0.668,0.741,0.741
F1-Score,None,0.018,0.03,0.004,0.002
,RUS,0.218,0.197,0.229,0.225
,ROS,0.156,0.181,0.089,0.063
,SMOTE,0.217,0.192,0.263,0.252
MCC,None,0.038,0.04,0.044,0.01
,RUS,0.166,0.143,0.189,0.186
,ROS,0.073,0.105,0.05,0.059
,SMOTE,0.153,0.132,0.209,0.205
